Company,Water Replenishment Portfolio Link
Amazon,https://sustainability.aboutamazon.com/water-replenishment-project-portfolio.pdf
Microsoft,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Water-Portfolio-FY25-Water-Replenishment.pdf
Google,https://sustainability.google/reports/2025-google-water-stewardship-project-portfolio/
Meta,https://sustainability.fb.com/wp-content/uploads/2023/07/Meta_2022_Volumetric_Water_Benefit_Report_2023.pdf
Digital Realty,
Equinix,
QTS Data Centers,
CyrusOne,
CoreSite,
DataBank,
Iron Mountain,
NTT Data,
Vantage Data Centers,
STACK Infrastructure,
Aligned Data Centers,
EdgeConneX,
EdgeCore,
Sabey Data Centers,
Cologix,
Aptum,
AVAIO Digital,
Bank of America,
Centersquare,
Chirisa Technology,
CleanArc,
CloudHQ,
Cogent,
Compass Datacenters,
Comcast,
COPT Defense Properties,
Corscale,
Cyxtera Technologies,
EdgeCore,
Evocative,
Flexential,
H5 Data Centers,
Oracle,
Perspecta,
Pixel Factory,
PointOne,
Prologis,
Skybox Datacenters,
Starwood Digital,
Sungard,
Superb Internet,
TA Realty,
TECfusions,
Capital One,
Cisco,
